"Name / Clip Identifier","Type","Camera","Scene","Shot","Take","Look Name","Rating","Output Colorspace","TC Start","Create Date","Look Modified Date","Grading Mode","LUT Nodes"
"B030C001","Still","B","9A","1","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","20:46:17:14","2023-09-23T12:46:20Z","2023-09-23T12:46:20Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C002","Still","B","9A","1","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","20:46:21:00","2023-09-23T12:46:24Z","2023-09-23T12:46:24Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C003","Still","B","9A","2","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","20:50:59:09","2023-09-23T12:51:02Z","2023-09-23T12:51:02Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C004","Still","B","9A","2","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","20:55:36:02","2023-09-23T12:55:39Z","2023-09-23T12:55:39Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C001","Still","A","9A","3","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","21:12:21:08","2023-09-23T13:12:24Z","2023-09-23T13:12:24Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C002","Still","A","9A","3","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:12:39:17","2023-09-23T14:12:42Z","2023-09-23T14:12:42Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C003","Still","A","9A","4","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:12:47:11","2023-09-23T14:12:50Z","2023-09-23T14:12:50Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C004","Still","A","9A","4","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:12:49:09","2023-09-23T14:12:52Z","2023-09-23T14:12:52Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C005","Still","A","9A","4","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:12:51:08","2023-09-23T14:12:54Z","2023-09-23T14:12:54Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C006","Still","A","9A","4","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:12:54:05","2023-09-23T14:12:57Z","2023-09-23T14:12:57Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C007","Still","A","9A","5","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:27:46:13","2023-09-23T14:27:50Z","2023-09-23T14:27:50Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C005","Still","B","9A","5","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","00:00:00:00","2023-09-23T14:27:52Z","2023-09-23T14:27:52Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C008","Still","A","9A","5","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:27:59:12","2023-09-23T14:28:02Z","2023-09-23T14:28:02Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C009","Still","A","9A","5","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:30:22:23","2023-09-23T14:30:26Z","2023-09-23T14:30:26Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C010","Still","A","9A","5","4","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:32:45:10","2023-09-23T14:32:48Z","2023-09-23T14:32:48Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C011","Still","A","9A","5","0","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:44:58:00","2023-09-23T14:45:00Z","2023-09-23T14:45:00Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C012","Still","A","9A","6","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:47:09:17","2023-09-23T14:47:12Z","2023-09-23T14:47:12Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C006","Still","B","9A","6","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:47:10:16","2023-09-23T14:47:13Z","2023-09-23T14:47:13Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C013","Still","A","9A","6","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:48:33:04","2023-09-23T14:48:36Z","2023-09-23T14:48:36Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C007","Still","B","9A","6","2","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:48:34:07","2023-09-23T14:48:36Z","2023-09-23T14:48:36Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"A031C014","Still","A","9A","6","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:50:15:11","2023-09-23T14:50:18Z","2023-09-23T14:50:18Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C008","Still","B","9A","6","3","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","22:50:16:14","2023-09-23T14:50:19Z","2023-09-23T14:50:19Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
"B030C009","Still","B","8补","43","1","ARRI_LogC2Video_Rec709_AFL-2","0","Rec.2100 PQ","02:07:53:03","2023-09-23T18:07:56Z","2023-09-23T18:07:56Z","CDL and LUT","ARRI_LogC2Video_Rec709_AFL-2.cube"
